-6.40,-3.88,1
-7.81,-4.88,1
-6.04,-9.24,1
-2.61,-6.08,1
-4.74,-8.34,1
-5.84,-1.27,1
0.99,-5.73,1
-6.04,-7.07,1
-0.09,-7.06,1
-6.41,-3.69,1
-4.14,-5.22,1
-9.92,-4.98,1
-6.22,-5.83,1
-3.93,-3.15,1
-0.99,-7.12,1
-6.64,-7.20,1
-6.14,-4.86,1
-5.14,-3.58,1
-7.06,-4.60,1
-9.33,-6.21,1
-5.79,-7.13,1
-6.76,-1.25,1
-2.97,-3.22,1
-3.63,-2.26,1
-4.42,-5.39,1
-7.41,-2.99,1
-5.84,-7.24,1
-7.52,-0.79,1
-6.88,-4.15,1
-5.93,-6.35,1
-2.13,-7.63,1
-7.15,-3.48,1
-5.38,-4.90,1
-6.50,-7.68,1
0.19,-1.36,1
-6.34,-7.30,1
-8.74,-6.98,1
-2.73,-5.55,1
-2.99,-4.81,1
-2.95,-4.90,1
-5.51,-0.41,1
-4.44,-3.25,1
-6.78,-3.55,1
-2.45,-2.83,1
-3.92,-4.82,1
-7.16,-4.73,1
-3.81,-7.69,1
-5.33,-7.78,1
-8.98,-3.91,1
-6.20,-6.12,1
6.99,6.36,2
6.59,6.96,2
5.16,1.29,2
5.45,5.58,2
7.69,4.08,2
7.07,4.73,2
5.90,8.82,2
6.15,3.82,2
3.47,5.06,2
6.49,4.84,2
5.09,6.59,2
6.67,3.67,2
6.41,2.43,2
7.62,6.72,2
5.47,5.13,2
0.90,5.78,2
3.11,4.98,2
3.19,5.09,2
8.49,5.65,2
2.35,6.44,2
2.83,5.06,2
5.70,5.71,2
6.71,2.83,2
2.58,5.13,2
7.60,5.44,2
4.68,5.37,2
4.71,2.53,2
3.02,4.91,2
5.56,5.19,2
4.88,1.58,2
5.90,4.56,2
7.61,4.54,2
5.65,3.95,2
2.02,7.90,2
6.96,6.87,2
9.45,3.66,2
4.90,6.38,2
6.27,8.29,2
5.24,5.42,2
5.02,5.17,2
5.41,2.63,2
5.89,5.55,2
4.80,3.69,2
4.04,7.41,2
4.43,8.73,2
7.24,3.50,2
9.39,3.18,2
5.04,7.28,2
3.07,4.59,2
4.82,5.38,2
-5.38,6.60,3
-5.13,8.16,3
-6.69,3.58,3
-3.59,4.53,3
-6.03,3.38,3
-6.87,8.08,3
-9.17,6.00,3
-3.86,2.39,3
-4.22,7.82,3
-7.33,6.22,3
-6.04,6.62,3
-6.66,5.82,3
-8.47,7.11,3
-3.31,4.83,3
-5.15,6.27,3
-3.17,0.92,3
-4.56,2.94,3
-4.06,4.99,3
-6.76,5.96,3
-2.84,5.67,3
-8.22,3.46,3
0.95,6.72,3
-4.26,5.24,3
-4.59,5.85,3
-3.90,3.82,3
-5.80,1.25,3
-5.53,1.73,3
-3.37,5.06,3
-6.94,11.11,3
-6.43,2.68,3
-6.03,7.66,3
-6.81,6.92,3
-8.55,4.83,3
-6.03,2.78,3
-4.57,5.35,3
-6.10,8.85,3
-4.23,1.73,3
-6.28,3.28,3
-4.92,4.52,3
-4.90,1.00,3
-4.43,4.45,3
-5.89,3.36,3
-3.23,6.45,3
-7.45,3.76,3
-4.91,2.66,3
-6.46,3.82,3
-6.50,6.67,3
-5.09,4.29,3
-4.60,5.05,3
-5.13,4.65,3
2.89,-2.66,4
3.54,-5.90,4
5.07,-3.37,4
4.68,-4.32,4
5.95,-2.31,4
4.93,-4.36,4
3.30,-4.90,4
8.04,-7.10,4
7.61,-4.84,4
5.29,-5.08,4
2.49,-7.40,4
7.44,-2.97,4
7.85,-8.62,4
3.05,-8.09,4
4.48,-5.05,4
4.28,-6.12,4
4.50,-5.90,4
3.74,-5.67,4
7.28,-2.10,4
4.73,-6.71,4
1.80,-8.19,4
3.05,-4.99,4
6.39,-5.04,4
5.22,-3.28,4
0.75,-4.00,4
1.69,-8.24,4
3.61,-2.06,4
4.09,-2.97,4
8.83,-4.05,4
3.34,-6.43,4
8.23,-5.58,4
1.26,-1.69,4
4.83,-5.62,4
6.17,-3.49,4
7.76,-1.97,4
1.44,-3.62,4
3.88,-2.93,4
8.47,-8.91,4
4.35,-6.38,4
3.83,-5.15,4
4.24,-6.14,4
5.26,-5.24,4
6.84,-5.77,4
5.16,-6.52,4
8.32,-7.59,4
3.53,-2.29,4
6.03,-2.45,4
2.42,-1.83,4
6.97,-5.42,4
3.69,-3.24,4
